rank_test_score,param_svc__C,param_svc__gamma,mean_fit_time,mean_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score
1,162.82166373084726,0.026060031820003427,0.052,0.011,0.686,0.026,1.0,0.0
2,13.175428816538888,0.037852274022047015,0.052,0.011,0.678,0.033,1.0,0.0
3,6.080313359530698,0.06234451068855181,0.055,0.012,0.655,0.022,1.0,0.0
4,65.8285375992358,0.16532246522278407,0.053,0.011,0.585,0.031,1.0,0.0
5,214.5585321594786,0.17876266766265322,0.053,0.011,0.58,0.033,1.0,0.0
6,1.5590542353378793,0.01987876881680064,0.04,0.011,0.514,0.032,0.703,0.009
7,30.363087280807683,0.26958559022082773,0.059,0.012,0.499,0.032,1.0,0.0
8,0.6440851380101242,0.13845739437995938,0.049,0.011,0.467,0.024,0.823,0.006
9,1.3463297776733716,0.3641716340703872,0.054,0.011,0.416,0.047,1.0,0.0
10,40.94651202365523,0.41190263410537703,0.054,0.011,0.383,0.043,1.0,0.0
11,0.6123332372167031,0.01651799456942465,0.04,0.011,0.347,0.019,0.414,0.01
12,0.5173913561669646,0.33159192436194607,0.051,0.011,0.246,0.02,0.52,0.006
13,5.914475656186591,0.880547666712978,0.055,0.011,0.24,0.03,1.0,0.0
14,2.5389813303070934,0.9132456052661994,0.057,0.011,0.225,0.022,1.0,0.0
15,39.56806832342848,1.30476500683914,0.057,0.011,0.169,0.014,1.0,0.0
16,238.38790060274786,3.565428136523973,0.058,0.011,0.134,0.003,1.0,0.0
16,1.4266380950018676,2.9405291449353537,0.057,0.011,0.134,0.003,1.0,0.0
16,525.7751924485999,3.229857630623203,0.058,0.011,0.134,0.003,1.0,0.0
19,4.547334157724477,4.5618178001453975,0.058,0.011,0.131,0.003,1.0,0.0
19,22.211041052128113,8.505165381455823,0.059,0.012,0.131,0.003,1.0,0.0
19,10.358589959804029,5.313002647635512,0.059,0.011,0.131,0.003,1.0,0.0
22,0.08174452080005523,0.07538045954647016,0.043,0.011,0.13,0.008,0.146,0.02
23,3.9575425807058804,11.60039102979473,0.06,0.012,0.13,0.0,1.0,0.0
23,41.906040106838695,11.353180782126506,0.06,0.012,0.13,0.0,1.0,0.0
25,2.6011854813966675,846.8352511202685,0.059,0.011,0.127,0.004,1.0,0.0
25,9.24452460746213,28.741471117024776,0.069,0.014,0.127,0.004,1.0,0.0
25,0.6019692798601181,64.97391993423348,0.062,0.013,0.127,0.004,0.352,0.033
25,33.480670920804044,947.9652340082371,0.059,0.011,0.127,0.004,1.0,0.0
25,422.3402260837218,161.56600430713863,0.059,0.011,0.127,0.004,1.0,0.0
25,801.3476947482928,26.555145964210734,0.07,0.015,0.127,0.004,1.0,0.0
25,0.5198644030239776,44.18232204654377,0.067,0.015,0.127,0.004,0.246,0.001
25,0.977735258317486,48.97529139549026,0.067,0.015,0.127,0.004,1.0,0.0
25,13.685001843707878,41.40776509782878,0.071,0.015,0.127,0.004,1.0,0.0
25,13.320407482684,23.628995246998848,0.066,0.014,0.127,0.004,1.0,0.0
25,1.3544299070134378,293.0527597437257,0.059,0.012,0.127,0.004,1.0,0.0
25,14.859520407619089,176.66843845272197,0.061,0.012,0.127,0.004,1.0,0.0
25,1.21649703604387,25.497865679326996,0.066,0.014,0.127,0.004,1.0,0.0
38,0.012040541903725268,9.379061794101936,0.051,0.012,0.124,0.003,0.124,0.001
38,0.2941509341551058,14.285012319985185,0.055,0.012,0.124,0.003,0.124,0.001
38,0.05825759816325947,30.036383718347253,0.062,0.015,0.124,0.003,0.124,0.001
38,0.3924931954595938,28.83045375296888,0.064,0.015,0.124,0.003,0.126,0.002
38,0.030099728832198303,267.07554996789236,0.052,0.011,0.124,0.003,0.124,0.001
38,0.02887517996963757,1.4740284416561944,0.05,0.011,0.124,0.003,0.124,0.001
38,0.13622514154189563,5.709181441858973,0.058,0.011,0.124,0.003,0.124,0.001
38,0.3340722230503404,0.9793285366373917,0.053,0.012,0.124,0.003,0.128,0.002
38,0.09356529751785501,7.282572007264818,0.051,0.011,0.124,0.003,0.124,0.001
38,0.040099903726708595,135.42660850197154,0.053,0.012,0.124,0.003,0.124,0.001
38,0.05696882495436901,0.9871461672235259,0.05,0.011,0.124,0.003,0.124,0.001
38,0.385857911319906,1.1861266390340004,0.052,0.011,0.124,0.003,0.128,0.002
38,0.16005877496078505,0.5215309304498184,0.05,0.011,0.124,0.003,0.124,0.001
